4	243	160	213	157	159	142	144	145	145	145	145	145	146	146	146	146	146	147	147	147	147	147	147	148	148	148	148	148	149	149	149	149	149	149	149	149	149	149	149	149	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	151	151	151	151	152	152	152	152	152	152	152	152	152	152	152	153	153	153	153	153	153	153	153	154	154	154	154	154	154	154	154	154	154	154	155	157	157	157	162	164	166	167	167	169	246
8	519	312	306	305	304	290	287	295	287	288	290	284	288	285	289	286	290	289	287	288	294	288	288	305	300	293	283	289	299	294	291	293	284	286	284	284	286	287	288	284	296	297	295	292	297	293	296	290	286	289	295	288	286	288	287	290	290	292	289	302	292	298	291	292	295	291	292	316	320	292	300	286	291	289	338	282	288	291	306	306	298	295	296	293	289	292	295	288	295	299	308	294	292	293	286	288	295	295	288	294
16	737	608	597	600	586	554	554	544	552	550	548	552	543	548	555	548	613	553	550	548	552	543	552	563	573	556	547	557	567	556	557	553	548	557	554	550	548	551	548	545	862	565	566	559	562	858	550	568	559	550	552	549	555	560	554	557	557	549	554	581	563	566	555	559	624	564	553	604	548	548	575	567	564	593	557	552	560	554	573	581	691	571	560	561	553	552	554	550	547	575	571	566	552	554	554	556	582	572	558	551
32	1357	1194	1180	1184	1139	1102	1121	1102	1093	1094	1093	1087	1090	1099	1093	1095	1093	1093	1102	1108	1096	1088	1091	1138	1114	1118	1096	1094	1142	1120	1121	1124	1099	1110	1094	1099	1086	1097	1084	1282	1132	1131	1114	1120	1120	1118	1117	1104	1141	1106	1100	1096	1100	1095	1087	1116	1093	1098	1101	1445	1123	1128	1120	1106	1125	1118	1159	1088	1093	1107	1136	1126	1128	1181	1111	1115	1110	1087	1155	1150	1138	1263	1132	1123	1123	1119	1116	1098	1110	1151	1140	1124	1124	1106	1115	1112	1163	1122	1117	1117
64	2549	2320	2285	2738	2580	2168	2185	2242	2168	2164	2150	2152	2196	2167	2160	2151	2159	2227	2484	2150	2157	2160	2158	2241	2207	2192	2165	2159	2567	2231	2181	2183	2409	2183	2164	2170	2180	2175	2153	2155	2230	2229	2233	2198	2188	2192	2173	2172	2165	2172	2177	2416	2168	2172	2165	2417	2486	2171	2167	2245	2202	2213	2211	2210	2183	2193	2198	2186	2172	2173	2244	2215	2255	2199	2191	2177	2179	2177	2247	2259	2237	2232	2242	2216	2216	2194	2183	2180	2173	2244	2313	2220	2183	2167	2169	2170	2281	2273	2185	2183
128	4736	4806	4492	4549	4445	4261	4242	4461	4215	4218	4302	4237	4242	4229	4305	4231	4238	4223	4532	4226	4887	4245	4271	4602	4308	4290	4284	4234	4525	4303	4295	4291	4281	4266	4224	4233	4224	4266	4230	4236	4366	4340	4339	4287	4291	4323	4862	4318	4375	4484	4266	4239	4247	4322	4228	4286	4249	4248	4324	4400	4307	4295	4645	4614	4300	4293	4708	4245	4308	4241	4367	5314	4332	4624	4360	4284	4277	4237	4457	4406	4371	4329	4319	4315	4532	4296	4294	4234	4233	4441	4410	4359	4294	4576	4270	4261	4448	4316	4276	4273
256	9403	9322	9094	8792	8727	8513	8497	8500	8475	8458	8893	8512	8500	8817	8499	8494	8543	8509	8485	8497	8474	8481	8465	8661	8532	8501	8489	8582	8571	8544	8493	8513	8504	8506	8506	8500	8542	8490	8526	8479	8940	8617	8595	8525	8510	8533	8497	8522	8474	8523	8495	8805	9107	8497	8483	8749	8508	8839	8527	8598	8562	8554	8524	8534	8540	8521	8815	8509	8518	8479	8634	8601	8571	8823	8508	8739	8815	8490	8700	8640	8985	8608	8858	8872	8572	8527	8522	8749	8514	8591	8614	8617	8516	8503	8491	8763	8721	8589	8829	8737
512	18602	17712	17464	17281	17739	18017	16923	16908	16850	16843	16847	16933	17180	16905	16876	17133	16824	16852	16887	16903	17442	16850	17050	17495	16853	16923	17188	17325	17262	16835	16888	16880	17114	16923	17239	17186	16857	17174	16826	17184	17246	16967	17155	17085	17075	17099	16851	16885	16914	16947	16888	17117	17702	17923	17194	17151	16893	16841	17513	17604	17535	16879	16847	16891	16958	16859	17453	16860	16979	17202	17087	16883	16890	16968	17155	17109	17889	17238	17998	17608	17203	16930	16880	16885	16865	16867	17287	16867	17132	17528	17291	16901	16881	16925	16879	16838	17649	17134	17609	16852
1024	35743	35075	34662	37002	34698	34756	34273	34536	35515	35544	34732	34319	35217	35200	35558	34935	35298	34348	34617	35100	34852	34342	36803	35227	34512	33889	35339	35009	35895	34573	34065	34213	34742	34398	34975	35038	34298	34784	34572	34315	34858	34426	33974	35398	34267	34174	34389	34385	35557	35661	34872	35845	34938	35615	35769	33910	34135	35120	34748	34616	35052	35224	34766	34430	35160	34098	34519	35515	34622	36680	34888	34461	34140	34373	34129	34401	34169	34824	34448	34498	34018	34881	34018	33901	34566	34589	33832	35471	35335	35409	35495	34235	33925	34784	34376	34768	34525	34225	34510	34336
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
